id,name,district,category,address,source,timing,cost,booking,reviewed
san-pedro-square-market,San Pedro Square Market,downtown,Food & gathering,87 N. San Pedro Street,https://sanpedrosquaremarket.com/,The official footer lists Sunday–Thursday 11am–10pm and Friday–Saturday 11am–midnight. Another image on the same page differs; confirm the day and vendor directly.,Vendor-specific spending,Walk-in setting,2026-09-23
san-jose-museum-of-art,San José Museum of Art,downtown,Art & museums,110 S. Market Street,https://sjmusart.org/hours-and-admissions,Published schedule: Tuesday–Sunday 11am–6pm; Friday until 9pm. Check the admissions page for exceptions and event terms.,Check current admission,Check admission and event rules,2026-09-23
the-tech-interactive,The Tech Interactive,downtown,Art & museums,201 S. Market Street,https://www.thetech.org/visit/,Consult the dated operating calendar and the separate IMAX schedule; a film listing does not establish gallery hours.,Admission and film prices vary,Timed or programme-specific tickets,2026-09-23
hammer-theatre,Hammer Theatre Center,downtown,Stage & sound,101 Paseo de San Antonio,https://hammertheatre.com/,Dates and times depend on the scheduled production.,Event-specific tickets,Book the selected event,2026-09-23
san-jose-civic,San Jose Civic,downtown,Stage & sound,135 W. San Carlos Street,https://sanjosetheaters.org/seating-charts/,"Check the official event page for doors, start time, and admission requirements.",Event-specific tickets,Book the selected event,2026-09-23
san-jose-improv,San Jose Improv,downtown,Stage & sound,62 S. Second Street,https://improv.com/sanjose/private-events/info/,"Use the official show listing for times, age limits, and purchase conditions.",Ticket and show conditions vary,Book the selected show,2026-09-23
macla,MACLA,sofa,Art & museums,510 S. First Street,https://maclaarte.org/visit/,"Gallery: Wednesday–Sunday noon–5pm, plus special appointments. Gallery admission is free.",Free gallery admission; events differ,Gallery visits; separate event listings,2026-09-23
anno-domini,Anno Domini,sofa,Art & museums,366 S. First Street,https://www.galleryad.com/,Thursday and Friday noon–7pm; first Fridays 5–9pm; Saturday noon–5pm. Free admission.,Free admission,Check exhibition dates,2026-09-23
california-theatre,California Theatre,sofa,Stage & sound,345 S. First Street,https://sanjosetheaters.org/california/,Performance-dependent; consult the presenting organization and official event page.,Event-specific tickets,Book the selected performance,2026-09-23
san-jose-stage,San Jose Stage Company,sofa,Stage & sound,490 S. First Street,https://www.thestage.org/,Check the current season and the selected performance date.,Production-specific tickets,Book the selected performance,2026-09-23
sofa-market,SoFA Market,sofa,Food & gathering,387 S. First Street,https://www.sanjose.org/listings/sofa-market,Confirm individual vendor hours directly; the directory does not establish a common closing time.,Vendor-specific spending,Walk-in setting,2026-09-23
haberdasher,Haberdasher,sofa,Food & gathering,43 W. San Salvador Street,https://haberdashersj.com/,"Wednesday, Thursday and Sunday 5pm–midnight; Friday–Saturday 5pm–1am; closed Monday–Tuesday.",Menu-based spending,Walk-ins; groups should inquire,2026-09-23
nirvana-soul,"Nirvana Soul, Downtown",sofa,Food & gathering,315 S. First Street,https://www.nirvanasoulcoffee.com/contact,Check the Downtown listing for current hours; other locations have their own schedules.,Menu-based spending,Check the Downtown location,2026-09-23
city-lights,City Lights Theater Company,sofa,Stage & sound,529 S. Second Street,https://cltc.org/contact-directions/,Performance-dependent; read the selected production’s visit information.,Production-specific tickets,Book the selected performance,2026-09-23
roys-station,Roy’s Station,japantown,Food & gathering,197 Jackson Street,https://roysstation.com/,Monday–Friday 8am–2pm; Saturday–Sunday 8am–3pm.,Menu-based spending,Walk-in setting,2026-09-23
shuei-do,Shuei-Do Manju Shop,japantown,Food & gathering,217 Jackson Street,https://www.sanjose.org/listings/shuei-do-manju-shop,Confirm current opening hours and selection directly with the shop.,Selection-dependent spending,Check directly,2026-09-23
jamsj,Japanese American Museum of San Jose,japantown,Art & museums,535 N. Fifth Street,https://www.jamsj.org/visit,"Thursday–Sunday noon–4pm, with listed holiday closures. Published adult admission: $12.",Adult admission $12; concessions listed,Check visit and group-tour guidance,2026-09-23
jtown-pizza,Jtown Pizza,japantown,Food & gathering,625 N. Sixth Street,https://jtownpizza.com/,Use the official location listing for current service hours.,Menu-based spending,Check service and group arrangements,2026-09-23
nichi-bei-bussan,Nichi Bei Bussan,japantown,Shops & design,140 Jackson Street,https://www.nbstore.com/,Check the store’s current contact and visiting information.,Browsing and item-based spending,Check shop hours,2026-09-23
kogura,Kogura Company,japantown,Shops & design,231 Jackson Street,https://www.japantownsanjose.org/businesses,Current hours are not established by the association’s listing; confirm directly.,Item-based spending,Check shop hours,2026-09-23
